"","Cell.line.name","Tissue","area_under_curve","most_sensitive","least_sensitive"
"155","HCC1419","breast",11.3,0,0
"156","HCC1428","breast",12.318,0,0
"157","HCC1438","lung",9.0296,1,0
"158","HCC15","lung",10.052,1,0
"159","HCC1500","breast",10.746,0,0
"160","HCC1588","lung",8.7197,1,0
"161","HCC1806","breast",9.6454,1,0
"162","HCC1833","lung",12.19,0,0
"163","HCC1937","breast",13.487,0,1
"164","HCC1954","breast",11.651,0,0
"165","HCC202","breast",13.125,0,1
"166","HCC2108","lung",12.197,0,0
"167","HCC2218","breast",11.544,0,0
"168","HCC2279","lung",13.645,0,1
"169","HCC2935","lung",12.755,0,1
"170","HCC366","lung",10.78,0,0
"171","HCC38","breast",9.1734,1,0
"172","HCC4006","lung",14.049,0,1
"173","HCC44","lung",10.942,0,0
"174","HCC56","large_intestine",13.591,0,1
"175","HCC78","lung",9.5973,1,0
"176","HCC827","lung",12.345,0,0
"177","HCC95","lung",10.046,1,0
"178","HCT116","large_intestine",12.201,0,0
"179","HCT15","large_intestine",11.075,0,0
"180","HCT8","large_intestine",12.793,0,1
"181","HEC108","endometrium",12.377,0,0
"182","HEC151","endometrium",15.901,0,1
"183","HEC1A","endometrium",12.253,0,0
"184","HEC1B","endometrium",11.654,0,0
"185","HEC251","endometrium",12.557,0,1
"186","HEC265","endometrium",10.71,0,0
"187","HEC50B","endometrium",13.405,0,1
"188","HEC59","endometrium",11.709,0,0
"189","HEC6","endometrium",11.338,0,0
"190","HEP3B217","liver",13.067,0,1
"191","HEPG2","liver",13.444,0,1
"192","HEYA8","ovary",10.018,1,0
"193","HGC27","stomach",9.8333,1,0
"194","HLF","liver",9.4578,1,0
"195","HMC18","breast",11.309,0,0
"196","HMCB","skin",11.524,0,0
"197","HOS","bone",13.387,0,1
"198","HPAC","pancreas",16.058,0,1
"199","HPAFII","pancreas",12.361,0,0
"200","HS294T","skin",10.143,1,0
"201","HS578T","breast",12.204,0,0
"202","HS683","central_nervous_system",9.2252,1,0
"203","HS688AT","skin",14.59,0,1
"204","HS729","soft_tissue",10.652,0,0
"205","HS746T","stomach",12.266,0,0
"206","HS766T","pancreas",13.64,0,1
"207","HS822T","bone",15.528,0,1
"208","HS839T","skin",14.177,0,1
"209","HS852T","skin",15.591,0,1
"210","HS888T","bone",13.739,0,1
"211","HS895T","skin",13.498,0,1
"212","HS934T","skin",16.288,0,1
"213","HS936T","skin",13.661,0,1
"214","HS940T","skin",14.346,0,1
"215","HS944T","skin",6.8485,1,0
"216","HSC2","upper_aerodigestive_tract",11.277,0,0
"217","HSC3","upper_aerodigestive_tract",9.4329,1,0
"218","HSC4","upper_aerodigestive_tract",15,0,1
