"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"284","SNU5","stomach",15.59,0,1
"285","SNU61","large_intestine",14.773,0,0
"286","SNU620","stomach",14.872,0,0
"287","SNU626","central_nervous_system",16.203,0,1
"288","SNU668","stomach",15.271,0,0
"289","SNU719","stomach",15.575,0,1
"290","SNU738","central_nervous_system",15.985,0,1
"291","SNU761","liver",13.684,1,0
"292","SNU8","ovary",15,0,0
"293","SNU81","large_intestine",14.942,0,0
"294","SNU840","ovary",14.849,0,0
"295","SNU878","liver",16.738,0,1
"296","SNU886","liver",16.496,0,1
"297","SNU899","upper_aerodigestive_tract",15.248,0,0
"298","SNUC2A","large_intestine",15.775,0,1
"299","SNUC5","large_intestine",15.272,0,0
"300","SQ1","lung",13.539,1,0
"301","SU8686","pancreas",12.666,1,0
"302","SUIT2","pancreas",15.0875,0,0
"304","SW1088","central_nervous_system",14.7,0,0
"305","SW1271","lung",12.314,1,0
"306","SW1353","bone",14.497,0,0
"307","SW1463","large_intestine",14.986,0,0
"308","SW1710","urinary_tract",14.821,0,0
"309","SW48","large_intestine",16.136,0,1
"310","SW620","large_intestine",15.453,0,1
"311","TCCPAN2","pancreas",14.874,0,0
"312","TCCSUP","urinary_tract",14.803,0,0
"313","TE1","oesophagus",14.942,0,0
"314","TE10","oesophagus",15.281,0,0
"315","TE4","oesophagus",13.392,1,0
"316","TE6","oesophagus",12.031,1,0
"317","TE8","oesophagus",13.85,1,0
"318","TE9","oesophagus",15.708,0,1
"319","TTTHYROID","thyroid",15.157,0,0
"320","TUHR10TKB","kidney",15,0,0
"321","TUHR4TKB","kidney",16.001,0,1
"322","TYKNU","ovary",15.285,0,0
"323","U2OS","bone",16.103,0,1
"324","U87MG","central_nervous_system",15.181,0,0
"325","UMUC3","urinary_tract",14.918,0,0
"326","VMCUB1","urinary_tract",14.86,0,0
"327","VMRCRCW","kidney",15.631,0,1
"328","WM1799","skin",14.959,0,0
"329","WM793","skin",14.958,0,0
"330","YAPC","pancreas",14.493,0,0
"331","YD10B","upper_aerodigestive_tract",15.856,0,1
"332","YD15","salivary_gland",15,0,0
"333","YD38","upper_aerodigestive_tract",15.853,0,1
"334","YD8","upper_aerodigestive_tract",14.218,1,0
"335","ZR751","breast",14.275,1,0
