"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"403","NCIH28","pleura",14.225,0,0
"404","NCIH322","lung",14.931,0,0
"405","NCIH358","lung",15.266,0,1
"406","NCIH441","lung",15.392,0,1
"407","NCIH446","lung",12.264,1,0
"408","NCIH460","lung",15.177,0,1
"410","NCIH508","large_intestine",15.55,0,1
"411","NCIH520","lung",14.084,0,0
"412","NCIH522","lung",14.169,0,0
"413","NCIH524","lung",14.369,0,0
"414","NCIH526","lung",13.791,0,0
"415","NCIH647","lung",13.672,1,0
"416","NCIH650","lung",13.291,1,0
"417","NCIH661","lung",14.33,0,0
"418","NCIH69","lung",14.218,0,0
"419","NCIH716","large_intestine",14.16,0,0
"420","NCIH727","lung",14.718,0,0
"421","NCIH747","large_intestine",13.826,0,0
"422","NCIH810","lung",14.16,0,0
"423","NCIH838","lung",16.124,0,1
"424","NCIH841","lung",14.681,0,0
"425","NCIH889","lung",12.824,1,0
"426","NCIN87","stomach",14.8,0,0
"427","NH6","autonomic_ganglia",16.168,0,1
"428","NMCG1","central_nervous_system",17.043,0,1
"429","NUGC3","stomach",14.438,0,0
"430","NUGC4","stomach",12.182,1,0
"431","OAW28","ovary",14.8255,0,0
"433","OAW42","ovary",14.257,0,0
"434","OC314","ovary",14.987,0,0
"435","OE19","oesophagus",15.127,0,1
"436","OE33","oesophagus",14.752,0,0
"437","ONCODG1","ovary",14.534,0,0
"438","ONS76","central_nervous_system",14.229,0,0
"439","OSRC2","kidney",14.442,0,0
"440","OUMS23","large_intestine",14.219,0,0
"441","OV56","ovary",15.124,0,1
"442","OV7","ovary",13.697,1,0
"443","OV90","ovary",15.377,0,1
"444","OVCAR4","ovary",13.601,1,0
"445","OVCAR8","ovary",14.098,0,0
"446","OVISE","ovary",14.847,0,0
"447","OVK18","ovary",14.664,0,0
"448","OVSAHO","ovary",13.063,1,0
"449","OVTOKO","ovary",13.915,0,0
"450","PANC0203","pancreas",13.923,0,0
"451","PANC0327","pancreas",13.836,0,0
"452","PANC0403","pancreas",14.903,0,0
"453","PANC0504","pancreas",14.573,0,0
"454","PANC0813","pancreas",13.739,0,0
"455","PANC1005","pancreas",14.834,0,0
"456","PATU8902","pancreas",15.991,0,1
"457","PATU8988S","pancreas",14.014,0,0
"458","PATU8988T","pancreas",15.838,0,1
"459","PC14","lung",15.836,0,1
"460","PC3","prostate",15.273,0,1
"461","PECAPJ15","upper_aerodigestive_tract",13.168,1,0
"462","PECAPJ34CLONEC12","upper_aerodigestive_tract",12.941,1,0
"463","PECAPJ41CLONED2","upper_aerodigestive_tract",14.458,0,0
"464","PECAPJ49","upper_aerodigestive_tract",15.958,0,1
"465","PK1","pancreas",14.655,0,0
"466","PK45H","pancreas",13.733,1,0
"467","PK59","pancreas",13.484,1,0
"468","PLCPRF5","liver",15.062,0,1
"469","PSN1","pancreas",14.901,0,0
"470","QGP1","pancreas",14.467,0,0
"471","RCC10RGB","kidney",14.879,0,0
"472","RCM1","large_intestine",14.783,0,0
"473","RD","soft_tissue",14.449,0,0
"474","RERFLCAD1","lung",16.82,0,1
"475","RERFLCAD2","lung",14.676,0,0
"476","RERFLCAI","lung",14.105,0,0
"477","RERFLCMS","lung",14.073,0,0
"478","RH18","soft_tissue",14.519,0,0
"479","RH30","soft_tissue",13.602,1,0
"480","RH41","soft_tissue",12.744,1,0
"481","RKN","soft_tissue",15,0,0
"482","RKO","large_intestine",14.461,0,0
"483","RL952","endometrium",13.83,0,0
"484","RMGI","ovary",14.962,0,0
"485","RPMI7951","skin",16.971,0,1
"486","RT112","urinary_tract",15.245,0,1
"487","RT4","urinary_tract",14.814,0,0
"488","RVH421","skin",14.057,0,0
"489","SAOS2","bone",13.848,0,0
"490","SBC5","lung",14.927,0,0
"491","SCABER","urinary_tract",12.982,1,0
"492","SCC4","upper_aerodigestive_tract",18.419,0,1
"493","SCC9","upper_aerodigestive_tract",14.214,0,0
"494","SF126","central_nervous_system",14.633,0,0
"495","SF295","central_nervous_system",15.344,0,1
"496","SH10TC","stomach",14.689,0,0
"497","SH4","skin",14.799,0,0
"498","SHP77","lung",14.43,0,0
"499","SJSA1","bone",14.766,0,0
"500","SKBR3","breast",14.562,0,0
"501","SKCO1","large_intestine",13.73,1,0
"502","SKES1","bone",12.905,1,0
"503","SKHEP1","liver",13.532,1,0
"504","SKLMS1","soft_tissue",12.952,1,0
"505","SKLU1","lung",13.35,1,0
"506","SKMEL1","skin",15.895,0,1
"507","SKMEL2","skin",18.589,0,1
"508","SKMEL24","skin",14.637,0,0
"509","SKMEL28","skin",15.714,0,1
"510","SKMEL3","skin",14.426,0,0
"511","SKMEL30","skin",15.282,0,1
"512","SKMEL31","skin",14.943,0,0
"513","SKMEL5","skin",14.819,0,0
"514","SKMES1","lung",14.11,0,0
"515","SKNAS","autonomic_ganglia",14.039,0,0
"516","SKNBE2","autonomic_ganglia",14.789,0,0
"517","SKNDZ","autonomic_ganglia",15.12,0,1
"518","SKNFI","autonomic_ganglia",14.749,0,0
"519","SKNMC","bone",12.303,1,0
"520","SKNSH","autonomic_ganglia",14.219,0,0
"521","SKOV3","ovary",14.152,0,0
"522","SKUT1","soft_tissue",13.841,0,0
"523","SNGM","endometrium",14.314,0,0
"524","SNU1","stomach",13.929,0,0
"525","SNU1041","upper_aerodigestive_tract",13.454,1,0
"526","SNU1066","upper_aerodigestive_tract",13.974,0,0
"527","SNU1076","upper_aerodigestive_tract",13.277,1,0
"528","SNU1077","endometrium",14.319,0,0
"529","SNU1079","biliary_tract",14.123,0,0
"530","SNU1105","central_nervous_system",14.454,0,0
"531","SNU119","ovary",14.14,0,0
"532","SNU1196","biliary_tract",13.08,1,0
"533","SNU1214","upper_aerodigestive_tract",13.487,1,0
"534","SNU1272","kidney",17.058,0,1
