"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"284",907173,"IST-MES1","lung","mesothelioma",1.41661284,1
"285",907175,"JAR","urogenital_system","urogenital_system_other",1.62015634,1
"286",907176,"JEG-3","urogenital_system","urogenital_system_other",0.51022336,1
"287",907271,"KALS-1","nervous_system","glioma",-1.78611148,1
"288",907279,"KINGS-1","nervous_system","glioma",2.49250967,1
"289",907282,"KNS-42","nervous_system","glioma",0.09428085,1
"290",907285,"HuP-T3","pancreas","pancreas",-0.36511888,1
"291",907286,"HuP-T4","pancreas","pancreas",-1.99801138,1
"292",907287,"HT55","large_intestine","large_intestine",1.0647069,1
"293",907289,"HT-115","large_intestine","large_intestine",2.27279184,1
"294",907290,"H-EMC-SS","bone","chondrosarcoma",0.05800234,1
"295",907291,"GP5d","large_intestine","large_intestine",-2.28729222,1
"296",907295,"DMS-53","lung_SCLC","lung_small_cell_carcinoma",-0.43240225,1
"297",907298,"G-402","soft_tissue","soft_tissue_other",-2.27132475,1
"298",907299,"G-401","kidney","kidney",-0.37590303,1
"299",907312,"KU-19-19","urogenital_system","Bladder",1.35243017,1
"300",907313,"KS-1","nervous_system","glioma",-1.51456593,1
"301",907314,"KP-N-YN","neuroblastoma","neuroblastoma",1.23435595,1
"302",907317,"KYSE-150","aero_dig_tract","oesophagus",-2.47911791,1
"303",907318,"KYSE-180","aero_dig_tract","oesophagus",-1.69003912,1
"304",907319,"KYSE-270","aero_dig_tract","oesophagus",-2.08509673,1
"305",907320,"KYSE-450","aero_dig_tract","oesophagus",-0.65267985,1
"306",907321,"KYSE-510","aero_dig_tract","oesophagus",-4.09294371,0
"307",907786,"LC-2-ad","lung_NSCLC","lung_NSCLC_adenocarcinoma",-4.53555655,0
"308",907788,"LNCaP-Clone-FGC","urogenital_system","prostate",-0.80016139,1
"309",907790,"LoVo","large_intestine","large_intestine",-0.75742746,1
"310",907792,"LS-123","large_intestine","large_intestine",0.42343527,1
"311",907794,"LS-411N","large_intestine","large_intestine",-1.08152249,1
"312",907795,"LS-513","large_intestine","large_intestine",0.04210272,1
"313",907796,"LU-99A","lung_NSCLC","lung_NSCLC_large cell",-1.48670681,1
"314",908121,"MDA-MB-361","breast","breast",-0.23608308,1
"315",908122,"MDA-MB-453","breast","breast",-0.06233553,1
"316",908123,"MDA-MB-468","breast","breast",-1.06321623,1
"317",908125,"MEL-JUSO","skin","melanoma",-2.75147955,1
"318",908127,"MES-SA","urogenital_system","uterus",-1.89483783,1
