"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"517","SKNBE2","autonomic_ganglia",10.85,1,0
"518","SKNDZ","autonomic_ganglia",11.702,1,0
"519","SKNFI","autonomic_ganglia",13.589,0,0
"520","SKNMC","bone",9.1741,1,0
"521","SKNSH","autonomic_ganglia",10.649,1,0
"522","SKOV3","ovary",13.134,0,0
"523","SKUT1","soft_tissue",12.434,0,0
"524","SNGM","endometrium",12.454,0,0
"525","SNU1","stomach",8.8182,1,0
"526","SNU1033","large_intestine",12.688,0,0
"527","SNU1041","upper_aerodigestive_tract",14.396,0,1
"528","SNU1066","upper_aerodigestive_tract",12.792,0,0
"529","SNU1076","upper_aerodigestive_tract",12.661,0,0
"530","SNU1077","endometrium",14.625,0,1
"531","SNU1079","biliary_tract",11.864,0,0
"532","SNU1105","central_nervous_system",13.914,0,0
"533","SNU119","ovary",11.096,1,0
"534","SNU1196","biliary_tract",13.671,0,0
"535","SNU1214","upper_aerodigestive_tract",14.748,0,1
"536","SNU1272","kidney",14.808,0,1
"537","SNU16","stomach",11.597,1,0
"538","SNU182","liver",12.537,0,0
"539","SNU201","central_nervous_system",13.002,0,0
"540","SNU213","pancreas",14.142,0,1
"541","SNU216","stomach",14.089,0,0
"542","SNU245","biliary_tract",13.651,0,0
"543","SNU308","biliary_tract",14.483,0,1
"544","SNU387","liver",13.102,0,0
"545","SNU398","liver",12.692,0,0
"546","SNU407","large_intestine",12.961,0,0
"547","SNU410","pancreas",14.203,0,1
"548","SNU423","liver",13.277,0,0
"549","SNU449","liver",14.828,0,1
"550","SNU46","upper_aerodigestive_tract",14.368,0,1
"551","SNU466","central_nervous_system",13.924,0,0
"552","SNU475","liver",14.909,0,1
"553","SNU478","biliary_tract",11.206,1,0
"554","SNU489","central_nervous_system",13.71,0,0
"555","SNU5","stomach",12.448,0,0
"556","SNU503","large_intestine",10.783,1,0
"557","SNU601","stomach",12.045,0,0
"558","SNU61","large_intestine",12.193,0,0
"559","SNU620","stomach",12.758,0,0
"560","SNU626","central_nervous_system",12.711,0,0
"561","SNU668","stomach",13.414,0,0
"562","SNU685","endometrium",13.17,0,0
"563","SNU719","stomach",13.433,0,0
"564","SNU738","central_nervous_system",13.391,0,0
"565","SNU761","liver",13.8,0,0
"566","SNU8","ovary",13.934,0,0
"567","SNU840","ovary",14.735,0,1
"568","SNU869","biliary_tract",14.027,0,0
"569","SNU878","liver",12.484,0,0
"570","SNU886","liver",10.075,1,0
"571","SNU899","upper_aerodigestive_tract",13.648,0,0
"572","SNUC1","large_intestine",13.045,0,0
"573","SNUC2A","large_intestine",12.753,0,0
"574","SNUC4","large_intestine",15.561,0,1
"575","SNUC5","large_intestine",12.428,0,0
"576","SQ1","lung",13.524,0,0
"577","SU8686","pancreas",14.23,0,1
"578","SUIT2","pancreas",13.436,0,0
"580","SW1088","central_nervous_system",12.994,0,0
"581","SW1271","lung",12.008,0,0
"582","SW1353","bone",12.776,0,0
"583","SW1417","large_intestine",13.773,0,0
"584","SW1573","lung",11.176,1,0
"585","SW1710","urinary_tract",13.268,0,0
"586","SW1783","central_nervous_system",13.528,0,0
"587","SW1990","pancreas",12.756,0,0
"588","SW48","large_intestine",8.8651,1,0
"589","SW579","thyroid",11.506,1,0
"590","SW620","large_intestine",13.325,0,0
"591","SW948","large_intestine",9.5811,1,0
"592","T24","urinary_tract",13.749,0,0
"593","T3M10","lung",13.826,0,0
"594","T47D","breast",12.396,0,0
"595","T84","large_intestine",12.732,0,0
"596","T98G","central_nervous_system",14.549,0,1
