"","Cell.line.name","Tissue","AUC","most_sensitive","least_sensitive"
"71","CAPAN1","pancreas",14.454,0,0
"72","CAPAN2","pancreas",13.986,0,0
"73","CCFSTTG1","central_nervous_system",14.7635,0,0
"75","CCK81","large_intestine",12.974,1,0
"76","CFPAC1","pancreas",15,0,1
"77","CGTHW1","thyroid",14.691,0,0
"78","CHAGOK1","lung",14.109,0,0
"79","CHP126","autonomic_ganglia",13.931,0,0
"80","CHP212","autonomic_ganglia",12.403,1,0
"81","CJM","skin",13.978,0,0
"82","CL11","large_intestine",13.114,1,0
"83","COLO201","large_intestine",14.674,0,0
"84","COLO205","large_intestine",14.687,0,0
"85","COLO320","large_intestine",14.059,0,0
"86","COLO668","lung",9.8909,1,0
"87","COLO678","large_intestine",13.398,1,0
"88","COLO680N","oesophagus",14.897,0,0
"89","COLO684","endometrium",12.133,1,0
"90","COLO792","skin",14.4,0,0
"91","COLO800","skin",15.483,0,1
"92","COLO829","skin",14.354,0,0
"93","CORL105","lung",14.122,0,0
"94","CORL51","lung",9.0842,1,0
"95","CORL88","lung",11.854,1,0
"96","CORL95","lung",12.945,1,0
"97","COV362","ovary",14.035,0,0
"98","COV434","ovary",12.654,1,0
"99","COV644","ovary",14.438,0,0
"100","CW2","large_intestine",12.137,1,0
"101","D283MED","central_nervous_system",13.064,1,0
"102","DANG","pancreas",14.383,0,0
"103","DAOY","central_nervous_system",13.093,1,0
"104","DBTRG05MG","central_nervous_system",15.558,0,1
"105","DETROIT562","upper_aerodigestive_tract",14.919,0,0
"106","DKMG","central_nervous_system",14.898,0,0
"107","DLD1","large_intestine",15.872,0,1
"108","DMS114","lung",13.155,1,0
"109","DMS273","lung",12.829,1,0
"110","DMS454","lung",13.852,0,0
"111","DMS53","lung",10.064,1,0
"112","DU145","prostate",14.3305,0,0
"114","DV90","lung",9.6354,1,0
"115","EBC1","lung",14.587,0,0
"116","ECC10","stomach",13.113,1,0
"117","ECC12","stomach",15,0,1
"118","ECGI10","oesophagus",14.537,0,0
"119","EFE184","endometrium",14.512,0,0
"120","EFM192A","breast",13.896,0,0
"121","EFO21","ovary",14.191,0,0
"122","EFO27","ovary",13.96,0,0
"123","EN","endometrium",15.104,0,1
"124","EPLC272H","lung",16.112,0,1
"125","ES2","ovary",14.933,0,0
"126","ESS1","endometrium",14.213,0,0
"127","FADU","upper_aerodigestive_tract",14.345,0,0
"128","FTC133","thyroid",14.813,0,0
"129","FTC238","thyroid",14.874,0,0
"130","FU97","stomach",14.095,0,0
"131","FUOV1","ovary",14.902,0,0
"132","G292CLONEA141B1","bone",14.645,0,0
"133","G361","skin",13.246,1,0
"134","G401","soft_tissue",12.542,1,0
"135","G402","soft_tissue",11.692,1,0
"136","GAMG","central_nervous_system",15,0,1
"137","GB1","central_nervous_system",13.176,1,0
"138","GCT","soft_tissue",13.529,1,0
"139","GI1","central_nervous_system",13.523,1,0
"140","GMS10","central_nervous_system",14.944,0,0
"141","GOS3","central_nervous_system",14.265,0,0
"142","GP2D","large_intestine",13.685,0,0
"143","GSS","stomach",12.896,1,0
"144","GSU","stomach",16.612,0,1
"145","H292","lung",14.6,0,0
"146","HARA","lung",14.456,0,0
"147","HCC1143","breast",14.361,0,0
"148","HCC1171","lung",15.546,0,1
"149","HCC1195","lung",14.818,0,0
"150","HCC1395","breast",14.952,0,0
"151","HCC1419","breast",13.778,0,0
"152","HCC1428","breast",14.884,0,0
"153","HCC1438","lung",14.779,0,0
"154","HCC15","lung",13.84,0,0
"155","HCC1500","breast",13.79,0,0
"156","HCC1588","lung",12.144,1,0
"157","HCC1806","breast",15.601,0,1
"158","HCC1833","lung",14.34,0,0
"159","HCC1937","breast",14.926,0,0
"160","HCC1954","breast",14.343,0,0
"161","HCC202","breast",14.926,0,0
"162","HCC2108","lung",14.736,0,0
"163","HCC2218","breast",13.922,0,0
"164","HCC2279","lung",16.169,0,1
"165","HCC2935","lung",15.919,0,1
"166","HCC366","lung",14.772,0,0
"167","HCC38","breast",14.742,0,0
"168","HCC4006","lung",14.93,0,0
"169","HCC44","lung",13.162,1,0
"170","HCC56","large_intestine",16.576,0,1
"171","HCC78","lung",14.898,0,0
"172","HCC827","lung",14.565,0,0
"173","HCC95","lung",16.017,0,1
"174","HCT116","large_intestine",15.806,0,1
"175","HCT15","large_intestine",14.952,0,0
"176","HCT8","large_intestine",15.024,0,1
"177","HDQP1","breast",15.611,0,1
"178","HEC108","endometrium",15.274,0,1
"179","HEC151","endometrium",12.657,1,0
"180","HEC1A","endometrium",13.613,0,0
"181","HEC1B","endometrium",14.667,0,0
"182","HEC251","endometrium",14.784,0,0
"183","HEC265","endometrium",15.687,0,1
"184","HEC50B","endometrium",14.786,0,0
"185","HEC59","endometrium",14.34,0,0
"186","HEC6","endometrium",14.184,0,0
"187","HEP3B217","liver",14.882,0,0
"188","HEPG2","liver",14.203,0,0
"189","HEYA8","ovary",14.551,0,0
"190","HGC27","stomach",12.341,1,0
"191","HLF","liver",14.205,0,0
"192","HMC18","breast",14.772,0,0
"193","HMCB","skin",15.061,0,1
"194","HOS","bone",14.735,0,0
"195","HPAC","pancreas",14.904,0,0
"196","HPAFII","pancreas",14.795,0,0
"197","HS294T","skin",14.521,0,0
"198","HS578T","breast",11.925,1,0
"199","HS683","central_nervous_system",14.144,0,0
"200","HS688AT","skin",14.505,0,0
"201","HS729","soft_tissue",14.695,0,0
"202","HS746T","stomach",14.025,0,0
"203","HS766T","pancreas",14.313,0,0
"204","HS822T","bone",14.226,0,0
"205","HS839T","skin",14.076,0,0
"206","HS852T","skin",14.93,0,0
"207","HS888T","bone",10.919,1,0
"208","HS895T","skin",14.624,0,0
"209","HS934T","skin",14.248,0,0
"210","HS936T","skin",13.983,0,0
"211","HS940T","skin",13.744,0,0
"212","HS944T","skin",15.532,0,1
"213","HSC2","upper_aerodigestive_tract",13.552,1,0
"214","HSC3","upper_aerodigestive_tract",14.851,0,0
"215","HSC4","upper_aerodigestive_tract",14.059,0,0
"216","HT1080","soft_tissue",13.587,0,0
"217","HT115","large_intestine",14.623,0,0
"218","HT1197","urinary_tract",14.246,0,0
"219","HT1376","urinary_tract",15.429,0,1
"220","HT144","skin",14.129,0,0
"221","HT29","large_intestine",16.128,0,1
"222","HT55","large_intestine",13.754,0,0
"223","HUCCT1","biliary_tract",14.231,0,0
"224","HUG1N","stomach",13.774,0,0
"225","HUH1","liver",15.337,0,1
"226","HUH28","biliary_tract",15.418,0,1
"227","HUPT3","pancreas",14.686,0,0
"228","HUPT4","pancreas",14.086,0,0
"229","IALM","lung",15,0,1
"230","IGR1","skin",13.603,0,0
"231","IGR37","skin",13.966,0,0
"232","IGR39","skin",15.294,0,1
"233","IGROV1","ovary",13.8985,0,0
"235","IM95","stomach",11.223,1,0
"236","IMR32","autonomic_ganglia",11.504,1,0
"237","IPC298","skin",15.002,0,1
"238","ISHIKAWAHERAKLIO02ER","endometrium",15.805,0,1
"239","ISTMES1","pleura",14.334,0,0
"240","J82","urinary_tract",13.822,0,0
"241","JHH1","liver",14.154,0,0
"242","JHH2","liver",15.482,0,1
"243","JHH4","liver",14.699,0,0
"244","JHH5","liver",12.102,1,0
"245","JHH6","liver",14.735,0,0
"246","JHOC5","ovary",14.916,0,0
"247","JHOM1","ovary",15,0,1
"248","JHOS2","ovary",14.884,0,0
"249","JHUEM1","endometrium",8.9376,1,0
"250","JHUEM2","endometrium",11.423,1,0
"251","JHUEM3","endometrium",14.674,0,0
"252","JIMT1","breast",14.606,0,0
"253","JL1","pleura",14.732,0,0
"254","JMSU1","urinary_tract",14.529,0,0
"255","K029AX","skin",14.684,0,0
"256","KALS1","central_nervous_system",14.293,0,0
"257","KATOIII","stomach",14.941,0,0
"258","KE39","stomach",14.2525,0,0
"260","KELLY","autonomic_ganglia",14.346,0,0
"261","KG1C","central_nervous_system",15.146,0,1
"262","KLE","endometrium",13.846,0,0
"263","KM12","large_intestine",16.656,0,1
"264","KMBC2","urinary_tract",14.385,0,0
"265","KMRC1","kidney",14.796,0,0
"266","KMRC2","kidney",13.578,0,0
"267","KMRC20","kidney",14.721,0,0
"268","KMRC3","kidney",15.196,0,1
"269","KNS42","central_nervous_system",14.44,0,0
"270","KNS60","central_nervous_system",15.246,0,1
"271","KNS62","lung",14.212,0,0
"272","KNS81","central_nervous_system",14.314,0,0
"273","KP2","pancreas",15.126,0,1
"274","KP3","pancreas",14.126,0,0
"275","KP4","pancreas",11.898,1,0
"276","KPNSI9S","autonomic_ganglia",13.767,0,0
"277","KPNYN","autonomic_ganglia",13.553,0,0
"278","KU1919","urinary_tract",14.756,0,0
"279","KURAMOCHI","ovary",14.987,0,1
"280","KYM1","soft_tissue",10.553,1,0
"281","KYSE140","oesophagus",14.263,0,0
"282","KYSE150","oesophagus",14.87,0,0
"283","KYSE180","oesophagus",15.734,0,1
"284","KYSE30","oesophagus",14.789,0,0
"285","KYSE410","oesophagus",14.59,0,0
