"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","res_sens"
"443",910702,"AsPC-1","pancreas","pancreas",0.613134,1
"444",910704,"AU565","breast","breast",-2.01439876,1
"445",910779,"IA-LM","lung_NSCLC","lung_NSCLC_large cell",-2.82056066,1
"446",910780,"TGW","neuroblastoma","neuroblastoma",-0.02942587,1
"447",910781,"AN3-CA","urogenital_system","endometrium",-2.88839431,1
"448",910784,"A204","soft_tissue","rhabdomyosarcoma",-4.34454385,0
"449",910849,"NY","bone","osteosarcoma",-1.3341477,1
"450",910850,"C3A","digestive_system","liver",-0.77503484,1
"451",910851,"A427","lung_NSCLC","lung_NSCLC_not specified",-4.18651537,0
"452",910852,"CAL-85-1","breast","breast",-3.4607293,1
"453",910853,"CHL-1","skin","melanoma",-3.44809802,1
"454",910900,"NCI-H1651","lung_NSCLC","lung_NSCLC_adenocarcinoma",-3.86751198,1
"455",910903,"RPMI-7951","skin","melanoma",-2.01753398,1
"456",910904,"SCC-4","aero_dig_tract","head and neck",-1.74820822,1
"457",910905,"SNU-C1","large_intestine","large_intestine",2.48515263,1
"458",910907,"SW1990","pancreas","pancreas",-1.44328636,1
"459",910910,"UACC-812","breast","breast",1.24917166,1
"460",910911,"SCC-15","aero_dig_tract","head and neck",-1.60024549,1
"461",910915,"Capan-2","pancreas","pancreas",-0.01625918,1
"462",910916,"CAL-27","aero_dig_tract","head and neck",-3.88973364,1
"463",910920,"A704","kidney","kidney",-0.03554818,1
"464",910921,"A101D","skin","melanoma",-3.05015419,1
"465",910922,"769-P","kidney","kidney",-3.82399165,1
"466",910924,"23132-87","digestive_system","stomach",-3.93211935,1
"467",910925,"A431","skin","skin_other",-3.75806662,1
"468",910926,"BFTC-905","urogenital_system","Bladder",-4.19148997,0
"469",910927,"CAL-51","breast","breast",-3.85895722,1
"470",910931,"RERF-LC-MS","lung_NSCLC","lung_NSCLC_adenocarcinoma",-0.802941,1
"471",910932,"GAK","skin","melanoma",-1.36674511,1
"472",910933,"AM-38","nervous_system","glioma",-1.03612742,1
"473",910936,"DOK","aero_dig_tract","head and neck",0.25948669,1
"474",910937,"COR-L279","lung_SCLC","lung_small_cell_carcinoma",-2.80946667,1
"475",910942,"NEC8","urogenital_system","testis",-3.31675105,1
"476",910943,"CAS-1","nervous_system","glioma",-1.40869964,1
"477",910948,"MFM-223","breast","breast",2.67766252,1
"478",910952,"CAL-54","kidney","kidney",-1.16139091,1
"479",911905,"EFO-21","urogenital_system","ovary",-0.92456345,1
"480",917486,"LS-1034","large_intestine","large_intestine",-1.40283224,1
"481",924100,"22RV1","urogenital_system","prostate",-3.52565785,1
"482",924102,"8505C","thyroid","thyroid",-3.8302043,1
"483",924104,"BCPAP","thyroid","thyroid",-3.0801079,1
"484",924105,"BPH-1","urogenital_system","prostate",-3.53135888,1
"485",924106,"CAL-148","breast","breast",-3.66393258,1
"486",924107,"CAL-39","urogenital_system","cervix",-2.23414921,1
"487",924108,"CaR-1","large_intestine","large_intestine",1.23585339,1
"488",924111,"HO-1-N-1","aero_dig_tract","head and neck",-1.71940835,1
"489",924151,"HTC-C3","thyroid","thyroid",-0.88287372,1
"490",924186,"KGN","urogenital_system","ovary",-5.08160969,0
"491",924187,"KLE","urogenital_system","endometrium",-1.53586386,1
"492",924188,"KNS-81-FD","nervous_system","glioma",-1.81031521,1
"493",924238,"K5","thyroid","thyroid",-2.3919279,1
"494",924240,"MDA-MB-415","breast","breast",1.46733898,1
"495",924244,"NCI-H1975","lung_NSCLC","lung_NSCLC_adenocarcinoma",-2.77809278,1
"496",924247,"SW954","urogenital_system","urogenital_system_other",-4.09643081,0
"497",924248,"TE-441-T","soft_tissue","rhabdomyosarcoma",-2.39987708,1
"498",925338,"MDA-MB-157","breast","breast",-0.56807605,1
"499",925339,"MMAC-SF","skin","melanoma",-2.16997593,1
"500",925340,"MKN45","digestive_system","stomach",-3.01281468,1
"501",925341,"NCI-H810","lung_NSCLC","lung_NSCLC_large cell",-4.01831854,0
"502",925343,"MFH-ino","soft_tissue","soft_tissue_other",-5.26556146,0
"503",925345,"NOS-1","bone","osteosarcoma",-2.47022622,1
"504",925346,"PANC-03-27","pancreas","pancreas",-3.64499565,1
"505",925347,"PANC-08-13","pancreas","pancreas",-0.00374634,1
"506",925348,"PANC-10-05","pancreas","pancreas",-2.45459103,1
"507",930083,"RO82-W-1","thyroid","thyroid",0.05984436,1
"508",930297,"SiHa","urogenital_system","cervix",2.19703575,1
"509",930298,"SKG-IIIa","urogenital_system","cervix",-1.10467575,1
"510",930299,"TT","thyroid","thyroid",2.32262477,1
"511",946353,"TE-9","aero_dig_tract","oesophagus",-1.72653184,1
"512",946354,"TE-11","aero_dig_tract","oesophagus",-1.47058214,1
"513",946355,"TE-6","aero_dig_tract","oesophagus",-0.59414024,1
"514",946356,"TE-12","aero_dig_tract","oesophagus",-2.74703087,1
"515",946359,"BT-474","breast","breast",-0.35397094,1
"516",946360,"OAW-28","urogenital_system","ovary",-1.55559621,1
"517",946361,"LCLC-97TM1","lung_NSCLC","lung_NSCLC_large cell",-4.51400859,0
"518",946368,"D-263MG","nervous_system","glioma",-1.29032967,1
"519",946370,"D-392MG","nervous_system","glioma",-1.72684193,1
"520",946373,"D-502MG","nervous_system","glioma",0.91751484,1
"521",946382,"CAMA-1","breast","breast",-1.88605339,1
"522",949090,"Caov-4","urogenital_system","ovary",-1.32400085,1
"523",949093,"BT-483","breast","breast",2.15990898,1
"524",949094,"M059J","nervous_system","glioma",-3.28017599,1
"525",949155,"ES8","bone","ewings_sarcoma",-3.65619008,1
"526",949156,"ES4","bone","ewings_sarcoma",-4.9315703,0
"527",949157,"ES6","bone","ewings_sarcoma",-1.64214449,1
"528",949158,"ES1","bone","ewings_sarcoma",-4.217294,0
"529",949160,"EW-7","bone","ewings_sarcoma",-3.41477275,1
"530",949161,"EW-3","bone","ewings_sarcoma",-0.97320229,1
"531",949163,"EW-1","bone","ewings_sarcoma",-2.73845367,1
"532",949164,"EW-18","bone","ewings_sarcoma",-1.22777883,1
"533",949165,"EW-16","bone","ewings_sarcoma",-5.41795938,0
"534",949166,"EW-13","bone","ewings_sarcoma",-4.44638886,0
"535",949168,"EW-24","bone","ewings_sarcoma",-0.05556415,1
"536",949170,"LAN-6","neuroblastoma","neuroblastoma",-1.41096292,1
"537",949171,"NB10","neuroblastoma","neuroblastoma",-1.76037379,1
"538",949172,"NB12","neuroblastoma","neuroblastoma",-1.23122919,1
"539",949173,"NB6","neuroblastoma","neuroblastoma",0.03836308,1
"540",949174,"NB7","neuroblastoma","neuroblastoma",-1.63484429,1
"541",949176,"NB5","neuroblastoma","neuroblastoma",-1.01632217,1
"542",949177,"NB13","neuroblastoma","neuroblastoma",-2.2717492,1
"543",949178,"NB14","neuroblastoma","neuroblastoma",-1.42104834,1
"544",949179,"NB1","neuroblastoma","neuroblastoma",-3.00383212,1
"545",971773,"RH-1","soft_tissue","rhabdomyosarcoma",-4.29698251,0
