"","Cell.line.name","Tissue","area_under_curve","most_sensitive","least_sensitive"
"57","CAL29","urinary_tract",7.8225,0,0
"58","CAL33","upper_aerodigestive_tract",7.7309,0,0
"59","CAL51","breast",5.7448,1,0
"60","CAL51","breast",4.7013,1,0
"61","CAL54","kidney",8.0641,0,0
"62","CAL62","thyroid",6.739,1,0
"63","CAL78","bone",8.1368,0,0
"64","CAL851","breast",7.4445,1,0
"65","CALU1","lung",11.416,0,1
"66","CALU3","lung",6.3922,1,0
"67","CALU6","lung",10.419,0,1
"68","CAMA1","breast",9.7108,0,1
"69","CAOV3","ovary",5.8721,1,0
"70","CAPAN1","pancreas",7.695,0,0
"71","CAPAN2","pancreas",12.228,0,1
"72","CAS1","central_nervous_system",6.8326,1,0
"73","CCFSTTG1","central_nervous_system",9.832,0,1
"74","CCFSTTG1","central_nervous_system",9.1677,0,0
"75","CCK81","large_intestine",7.6282,1,0
"76","CFPAC1","pancreas",9.5981,0,1
"77","CGTHW1","thyroid",8.0643,0,0
"78","CHAGOK1","lung",7.5839,1,0
"79","CHP126","autonomic_ganglia",4.6921,1,0
"80","CHP212","autonomic_ganglia",4.7245,1,0
"81","CJM","skin",8.0505,0,0
"82","CL11","large_intestine",6.7651,1,0
"83","CL34","large_intestine",3.0396,1,0
"84","COLO201","large_intestine",9.6667,0,1
"85","COLO205","large_intestine",8.8763,0,0
"86","COLO320","large_intestine",11.55,0,1
"87","COLO668","lung",6.7797,1,0
"88","COLO678","large_intestine",9.9524,0,1
"89","COLO680N","oesophagus",8.899,0,0
"90","COLO684","endometrium",8.4651,0,0
"91","COLO741","skin",10.419,0,1
"92","COLO792","skin",10.108,0,1
"93","COLO800","skin",7.6511,1,0
"94","COLO829","skin",6.9592,1,0
"95","CORL105","lung",9.4277,0,1
"96","CORL279","lung",6.375,1,0
"97","CORL88","lung",9.5172,0,1
"98","CORL95","lung",6.2852,1,0
"99","COV362","ovary",9.2208,0,0
"100","COV434","ovary",4.8402,1,0
"101","COV644","ovary",8.5192,0,0
"102","CW2","large_intestine",10.545,0,1
"103","D283MED","central_nervous_system",4.9868,1,0
"104","DANG","pancreas",9.1257,0,0
"105","DAOY","central_nervous_system",5.8403,1,0
"106","DBTRG05MG","central_nervous_system",9.7857,0,1
"107","DETROIT562","upper_aerodigestive_tract",8.9766,0,0
"108","DKMG","central_nervous_system",8.1339,0,0
"109","DLD1","large_intestine",11.579,0,1
"110","DMS114","lung",7.2561,1,0
"111","DMS273","lung",7.1864,1,0
"112","DMS454","lung",8.1017,0,0
"113","DMS53","lung",7.7755,0,0
"114","DMS79","lung",6.2608,1,0
"115","DU145","prostate",9.8807,0,1
"116","DU145","prostate",9.8184,0,1
"117","DU4475","breast",2.0967,1,0
"118","DV90","lung",3.924,1,0
"119","EBC1","lung",7.3036,1,0
"120","ECC10","stomach",4.5547,1,0
"121","ECC12","stomach",7.582,1,0
"122","ECGI10","oesophagus",7.8157,0,0
"123","EFE184","endometrium",12.131,0,1
"124","EFM192A","breast",8.6091,0,0
"125","EFO21","ovary",10.727,0,1
"126","EFO27","ovary",11.042,0,1
"127","EN","endometrium",9.55,0,1
"128","EPLC272H","lung",7.9822,0,0
"129","ES2","ovary",9.1587,0,0
"130","ESS1","endometrium",4.4083,1,0
"131","FADU","upper_aerodigestive_tract",7.3309,1,0
"132","FTC133","thyroid",8.2913,0,0
"133","FTC238","thyroid",6.2585,1,0
"134","FU97","stomach",8.1229,0,0
"135","FUOV1","ovary",7.7572,0,0
"136","G292CLONEA141B1","bone",10.547,0,1
"137","G361","skin",6.6536,1,0
"138","G401","soft_tissue",5.0475,1,0
"139","G402","soft_tissue",5.1827,1,0
"140","GAMG","central_nervous_system",9.5683,0,1
"141","GB1","central_nervous_system",9.9106,0,1
"142","GCT","soft_tissue",7.78,0,0
"143","GI1","central_nervous_system",7.3824,1,0
"144","GMS10","central_nervous_system",9.4683,0,1
"145","GOS3","central_nervous_system",8.6486,0,0
"146","GP2D","large_intestine",7.8962,0,0
"147","GSS","stomach",5.9567,1,0
"148","GSU","stomach",8.5042,0,0
"149","H292","lung",6.3759,1,0
"150","HARA","lung",6.8447,1,0
"151","HCC1143","breast",9.3429,0,0
"152","HCC1171","lung",12.632,0,1
"153","HCC1195","lung",10.628,0,1
"154","HCC1395","breast",9.2882,0,0
"155","HCC1419","breast",10.532,0,1
"156","HCC1428","breast",10.19,0,1
"157","HCC1438","lung",8.1909,0,0
"158","HCC15","lung",9.4667,0,1
"159","HCC1500","breast",8.7047,0,0
"160","HCC1588","lung",7.2721,1,0
"161","HCC1806","breast",6.6788,1,0
"162","HCC1833","lung",8.8043,0,0
"163","HCC1937","breast",10.594,0,1
"164","HCC1954","breast",7.3642,1,0
"165","HCC202","breast",10.838,0,1
"166","HCC2108","lung",8.7645,0,0
"167","HCC2218","breast",9.0544,0,0
"168","HCC2279","lung",8.36,0,0
"169","HCC2935","lung",9.6372,0,1
"170","HCC366","lung",9.2104,0,0
"171","HCC38","breast",7.5408,1,0
"172","HCC4006","lung",10.817,0,1
"173","HCC44","lung",7.1622,1,0
"174","HCC56","large_intestine",12.233,0,1
"175","HCC78","lung",9.0847,0,0
"176","HCC827","lung",8.1964,0,0
"177","HCC95","lung",9.2618,0,0
"178","HCT116","large_intestine",11.679,0,1
"179","HCT15","large_intestine",9.84,0,1
"180","HCT8","large_intestine",12.203,0,1
"181","HDQP1","breast",11.122,0,1
"182","HEC108","endometrium",8.0769,0,0
"183","HEC151","endometrium",6.161,1,0
"184","HEC1A","endometrium",10.202,0,1
"185","HEC1B","endometrium",9.836,0,1
"186","HEC251","endometrium",8.9446,0,0
"187","HEC265","endometrium",8.0534,0,0
"188","HEC50B","endometrium",10.29,0,1
"189","HEC59","endometrium",8.2185,0,0
"190","HEC6","endometrium",8.2436,0,0
"191","HEP3B217","liver",10.699,0,1
"192","HEPG2","liver",7.6798,0,0
"193","HEYA8","ovary",9.0604,0,0
"194","HGC27","stomach",4.976,1,0
"195","HLF","liver",7.9753,0,0
"196","HMC18","breast",6.9291,1,0
"197","HMCB","skin",8.6955,0,0
"198","HOS","bone",8.801,0,0
"199","HPAC","pancreas",9.5387,0,1
"200","HPAFII","pancreas",10.465,0,1
"201","HS294T","skin",6.6347,1,0
"202","HS578T","breast",7.0133,1,0
"203","HS683","central_nervous_system",7.291,1,0
"204","HS688AT","skin",12.097,0,1
"205","HS729","soft_tissue",7.0223,1,0
"206","HS746T","stomach",7.0288,1,0
"207","HS766T","pancreas",10.591,0,1
"208","HS822T","bone",10.909,0,1
"209","HS839T","skin",9.3637,0,1
"210","HS852T","skin",6.5681,1,0
"211","HS888T","bone",10.353,0,1
"212","HS895T","skin",10.391,0,1
"213","HS934T","skin",10.71,0,1
"214","HS936T","skin",7.0172,1,0
"215","HS940T","skin",7.5412,1,0
"216","HS944T","skin",5.1104,1,0
"217","HSC2","upper_aerodigestive_tract",6.3946,1,0
"218","HSC3","upper_aerodigestive_tract",8.4475,0,0
"219","HSC4","upper_aerodigestive_tract",6.0869,1,0
"220","HT1080","soft_tissue",5.8584,1,0
"221","HT115","large_intestine",7.195,1,0
"222","HT1197","urinary_tract",8.5502,0,0
"223","HT1376","urinary_tract",10.617,0,1
"224","HT144","skin",8.0716,0,0
"225","HT29","large_intestine",13.02,0,1
"226","HT55","large_intestine",8.9274,0,0
"227","HUCCT1","biliary_tract",9.8561,0,1
"228","HUG1N","stomach",9.11,0,0
"229","HUH1","liver",9.7926,0,1
"230","HUH28","biliary_tract",8.2794,0,0
"231","HUH6","liver",6.213,1,0
"232","HUPT3","pancreas",10.369,0,1
"233","HUPT4","pancreas",6.9751,1,0
"234","IALM","lung",12.51,0,1
"235","IGR1","skin",7.8386,0,0
"236","IGR37","skin",7.7258,0,0
"237","IGR39","skin",7.5434,1,0
"238","IGROV1","ovary",7.6464,1,0
"239","IGROV1","ovary",5.8373,1,0
"240","IM95","stomach",7.1662,1,0
"241","IMR32","autonomic_ganglia",3.3842,1,0
"242","IPC298","skin",7.3198,1,0
"243","ISHIKAWAHERAKLIO02ER","endometrium",8.1052,0,0
"244","ISTMES1","pleura",6.5783,1,0
"245","J82","urinary_tract",8.5233,0,0
"246","JHH1","liver",8.8687,0,0
"247","JHH2","liver",10.501,0,1
"248","JHH4","liver",9.7464,0,1
"249","JHH5","liver",9.779,0,1
"250","JHH6","liver",11.222,0,1
"251","JHOC5","ovary",7.9493,0,0
"252","JHOM1","ovary",11.441,0,1
"253","JHUEM1","endometrium",6.6134,1,0
"254","JHUEM2","endometrium",3.5539,1,0
"255","JHUEM3","endometrium",8.1865,0,0
"256","JIMT1","breast",11.691,0,1
"257","JL1","pleura",8.9063,0,0
"258","JMSU1","urinary_tract",7.685,0,0
"259","K029AX","skin",8.0024,0,0
"260","KALS1","central_nervous_system",7.4709,1,0
"261","KATOIII","stomach",12.186,0,1
"262","KE39","stomach",11.957,0,1
"263","KE39","stomach",13.052,0,1
"264","KELLY","autonomic_ganglia",4.662,1,0
"265","KG1C","central_nervous_system",11.648,0,1
"266","KLE","endometrium",8.854,0,0
"267","KM12","large_intestine",9.3277,0,0
"268","KMBC2","urinary_tract",11.09,0,1
"269","KMRC1","kidney",8.9408,0,0
"270","KMRC2","kidney",10.008,0,1
"271","KMRC20","kidney",10.603,0,1
"272","KMRC3","kidney",8.8649,0,0
"273","KNS42","central_nervous_system",10.107,0,1
"274","KNS60","central_nervous_system",5.7638,1,0
"275","KNS62","lung",10.284,0,1
"276","KNS81","central_nervous_system",10.516,0,1
"277","KP2","pancreas",11.012,0,1
"278","KP3","pancreas",10.281,0,1
"279","KP4","pancreas",6.013,1,0
"280","KPL1","breast",13.114,0,1
"281","KPNSI9S","autonomic_ganglia",4.4848,1,0
"282","KPNYN","autonomic_ganglia",8.897,0,0
"283","KU1919","urinary_tract",7.9404,0,0
"284","KURAMOCHI","ovary",10.428,0,1
"285","KYM1","soft_tissue",7.5188,1,0
"286","KYSE140","oesophagus",9.5143,0,1
"287","KYSE150","oesophagus",10.214,0,1
"288","KYSE180","oesophagus",8.2276,0,0
"289","KYSE30","oesophagus",10.925,0,1
"290","KYSE410","oesophagus",9.5518,0,1
"291","KYSE450","oesophagus",10.895,0,1
"292","KYSE510","oesophagus",8.149,0,0
"293","KYSE520","oesophagus",10.397,0,1
"294","KYSE70","oesophagus",8.4619,0,0
"295","L33","pancreas",6.2475,1,0
"296","LC1SQSF","lung",11.063,0,1
"297","LCLC103H","lung",9.7029,0,1
"298","LCLC97TM1","lung",5.9713,1,0
"299","LI7","liver",9.3526,0,0
"300","LK2","lung",7.582,1,0
"301","LMSU","stomach",10.382,0,1
"302","LN18","central_nervous_system",7.6649,0,0
"303","LN229","central_nervous_system",8.2994,0,0
"304","LNCAPCLONEFGC","prostate",5.5164,1,0
"305","LOUNH91","lung",9.3852,0,1
"306","LOVO","large_intestine",6.5223,1,0
"307","LOXIMVI","skin",5.8857,1,0
"308","LOXIMVI","skin",7.9622,0,0
"309","LS1034","large_intestine",10.876,0,1
"310","LS123","large_intestine",10.023,0,1
"311","LS180","large_intestine",8.5407,0,0
"312","LS411N","large_intestine",11.153,0,1
"313","LS513","large_intestine",6.9565,1,0
"314","LU65","lung",8.9889,0,0
"315","LU99","lung",5.5829,1,0
"316","LUDLU1","lung",9.7878,0,1
"317","LXF289","lung",8.8025,0,0
"318","M059K","central_nervous_system",8.4346,0,0
"319","MALME3M","skin",8.178,0,0
"320","MCAS","ovary",7.7107,0,0
"321","MCF7","breast",9.8217,0,1
"322","MDAMB157","breast",5.5578,1,0
"323","MDAMB231","breast",10.056,0,1
"324","MDAMB361","breast",11.015,0,1
"325","MDAMB435S","skin",9.9784,0,1
"326","MDAMB453","breast",7.908,0,0
"327","MDAMB468","breast",6.6733,1,0
"328","MDST8","large_intestine",7.0312,1,0
"329","MELHO","skin",6.8763,1,0
"330","MELJUSO","skin",8.3786,0,0
"331","MEWO","skin",8.4578,0,0
"332","MFE296","endometrium",8.336,0,0
"333","MFE319","endometrium",9.7785,0,1
"334","MG63","bone",11.71,0,1
"335","MHHES1","bone",5.2587,1,0
"336","MHHNB11","autonomic_ganglia",2.8871,1,0
"337","MIAPACA2","pancreas",6.3576,1,0
"338","MKN1","stomach",9.1502,0,0
"339","MKN45","stomach",13.818,0,1
"340","MKN7","stomach",9.6796,0,1
"341","MKN74","stomach",9.2106,0,0
"342","MKN74","stomach",11.274,0,1
"343","ML1","thyroid",4.8948,1,0
"344","MORCPR","lung",8.7161,0,0
"345","MPP89","pleura",7.2013,1,0
"346","MSTO211H","pleura",5.5829,1,0
"347","NB1","autonomic_ganglia",5.1275,1,0
"348","NCCSTCK140","stomach",7.518,1,0
"349","NH6","autonomic_ganglia",4.4942,1,0
"350","NMCG1","central_nervous_system",13.24,0,1
"351","NUGC3","stomach",6.4456,1,0
"352","NUGC4","stomach",6.2448,1,0
"353","OAW28","ovary",10.174,0,1
"354","OAW28","ovary",9.7792,0,1
"355","OAW42","ovary",9.7346,0,1
"356","OC314","ovary",5.5362,1,0
"357","OCUM1","stomach",8.1611,0,0
"358","OE19","oesophagus",12.777,0,1
"359","OE33","oesophagus",10.687,0,1
"360","ONCODG1","ovary",8.9435,0,0
"361","ONS76","central_nervous_system",7.0661,1,0
"362","OSRC2","kidney",10.495,0,1
"363","OUMS23","large_intestine",8.0196,0,0
"364","OV56","ovary",10.053,0,1
"365","OV7","ovary",8.3094,0,0
"366","OV90","ovary",10.69,0,1
"367","OVCAR4","ovary",9.221,0,0
"368","OVCAR8","ovary",10.685,0,1
"369","OVISE","ovary",10.015,0,1
"370","OVK18","ovary",4.2792,1,0
"371","OVSAHO","ovary",8.5907,0,0
"372","OVTOKO","ovary",11.589,0,1
"373","PANC0203","pancreas",11.702,0,1
"374","PANC0327","pancreas",7.9614,0,0
"375","PANC0403","pancreas",11.68,0,1
"376","PANC0504","pancreas",9.1002,0,0
"377","PANC0813","pancreas",8.9759,0,0
"378","PANC1005","pancreas",10.084,0,1
"379","PATU8902","pancreas",11.399,0,1
"380","PATU8988S","pancreas",10.531,0,1
"381","PATU8988T","pancreas",9.7766,0,1
"382","PC14","lung",8.7731,0,0
"383","PC3","prostate",12.283,0,1
"384","PECAPJ15","upper_aerodigestive_tract",6.101,1,0
"385","PECAPJ34CLONEC12","upper_aerodigestive_tract",6.5744,1,0
"386","PECAPJ41CLONED2","upper_aerodigestive_tract",8.9949,0,0
"387","PECAPJ49","upper_aerodigestive_tract",7.0085,1,0
"388","PK1","pancreas",9.8808,0,1
"389","PK45H","pancreas",12.058,0,1
"390","PK59","pancreas",8.5629,0,0
"391","PLCPRF5","liver",8.1206,0,0
"392","PSN1","pancreas",7.9233,0,0
"393","QGP1","pancreas",9.1227,0,0
"394","RCC10RGB","kidney",12.303,0,1
"395","RCM1","large_intestine",11.301,0,1
"396","RD","soft_tissue",7.3498,1,0
"397","RERFLCAD1","lung",11.56,0,1
"398","RERFLCAD2","lung",10.827,0,1
"399","RERFLCAI","lung",6.4404,1,0
"400","RERFLCMS","lung",8.7575,0,0
"401","RH18","soft_tissue",8.5875,0,0
"402","RH30","soft_tissue",7.4092,1,0
"403","RH41","soft_tissue",6.1185,1,0
"404","RKN","soft_tissue",9.4267,0,1
"405","RKO","large_intestine",6.2307,1,0
"406","RL952","endometrium",7.2218,1,0
"407","RMGI","ovary",9.6702,0,1
"408","RPMI7951","skin",6.2617,1,0
"409","RT112","urinary_tract",7.2828,1,0
"410","RT4","urinary_tract",7.2261,1,0
"411","RVH421","skin",8.9836,0,0
"412","SAOS2","bone",7.7345,0,0
"413","SBC5","lung",7.0071,1,0
"414","SCABER","urinary_tract",7.1592,1,0
"415","SCC25","upper_aerodigestive_tract",6.2015,1,0
"416","SCC4","upper_aerodigestive_tract",8.6153,0,0
"417","SCC9","upper_aerodigestive_tract",7.4116,1,0
"418","SF126","central_nervous_system",7.8695,0,0
"419","SF295","central_nervous_system",10.504,0,1
"420","SH10TC","stomach",10.596,0,1
"421","SH4","skin",10.059,0,1
"422","SHP77","lung",10.77,0,1
"423","SJSA1","bone",8.7093,0,0
"424","SKBR3","breast",7.3986,1,0
"425","SKCO1","large_intestine",6.8592,1,0
"426","SKES1","bone",3.8897,1,0
"427","SKHEP1","liver",9.3603,0,0
"428","SKLMS1","soft_tissue",10.689,0,1
"429","SKLU1","lung",7.533,1,0
"430","SKMEL1","skin",8.3019,0,0
"431","SKMEL2","skin",10.157,0,1
"432","SKMEL24","skin",9.7697,0,1
"433","SKMEL28","skin",9.8672,0,1
"434","SKMEL3","skin",9.3729,0,1
"435","SKMEL30","skin",8.6459,0,0
"436","SKMEL31","skin",9.9562,0,1
"437","SKMEL5","skin",7.9801,0,0
"438","SKMES1","lung",5.5363,1,0
"439","SKNAS","autonomic_ganglia",7.2732,1,0
"440","SKNBE2","autonomic_ganglia",7.1436,1,0
"441","SKNDZ","autonomic_ganglia",5.8362,1,0
"442","SKNFI","autonomic_ganglia",9.02,0,0
"443","SKNMC","bone",6.8385,1,0
"444","SKNSH","autonomic_ganglia",6.613,1,0
"445","SKOV3","ovary",9.2075,0,0
"446","SKUT1","soft_tissue",8.5518,0,0
"447","SNGM","endometrium",7.4438,1,0
"448","SNU1","stomach",4.9907,1,0
"449","SNU1033","large_intestine",10.03,0,1
"450","SNU1041","upper_aerodigestive_tract",10.701,0,1
"451","SNU1066","upper_aerodigestive_tract",8.3684,0,0
"452","SNU1076","upper_aerodigestive_tract",7.7707,0,0
"453","SNU1077","endometrium",11.082,0,1
"454","SNU1079","biliary_tract",7.8812,0,0
"455","SNU1105","central_nervous_system",10.006,0,1
"456","SNU119","ovary",7.8271,0,0
"457","SNU1196","biliary_tract",10.523,0,1
"458","SNU1214","upper_aerodigestive_tract",9.2904,0,0
"459","SNU1272","kidney",11.442,0,1
"460","SNU16","stomach",3.8792,1,0
"461","SNU175","large_intestine",7.5467,1,0
"462","SNU182","liver",6.176,1,0
"463","SNU201","central_nervous_system",10.163,0,1
"464","SNU213","pancreas",9.6953,0,1
"465","SNU216","stomach",9.6161,0,1
"466","SNU308","biliary_tract",9.7648,0,1
"467","SNU387","liver",9.9482,0,1
"468","SNU398","liver",9.4821,0,1
"469","SNU407","large_intestine",7.706,0,0
"470","SNU410","pancreas",9.6679,0,1
"471","SNU423","liver",8.442,0,0
"472","SNU449","liver",12.715,0,1
"473","SNU46","upper_aerodigestive_tract",9.928,0,1
"474","SNU466","central_nervous_system",5.9396,1,0
"475","SNU475","liver",10.432,0,1
"476","SNU478","biliary_tract",6.602,1,0
"477","SNU489","central_nervous_system",8.7882,0,0
"478","SNU5","stomach",7.4844,1,0
"479","SNU503","large_intestine",10.305,0,1
"480","SNU601","stomach",9.0081,0,0
"481","SNU61","large_intestine",10.009,0,1
"482","SNU620","stomach",7.4093,1,0
"483","SNU626","central_nervous_system",8.3739,0,0
"484","SNU668","stomach",6.6046,1,0
"485","SNU685","endometrium",9.7505,0,1
"486","SNU719","stomach",8.5118,0,0
"487","SNU738","central_nervous_system",10.597,0,1
"488","SNU761","liver",8.2882,0,0
"489","SNU8","ovary",8.6222,0,0
"490","SNU81","large_intestine",6.1757,1,0
"491","SNU840","ovary",9.624,0,1
"492","SNU869","biliary_tract",10.72,0,1
"493","SNU878","liver",8.6131,0,0
"494","SNU886","liver",10.819,0,1
"495","SNU899","upper_aerodigestive_tract",8.0996,0,0
"496","SNUC1","large_intestine",8.6308,0,0
"497","SNUC2A","large_intestine",9.2685,0,0
"498","SNUC4","large_intestine",11.069,0,1
"499","SNUC5","large_intestine",8.9034,0,0
"500","SQ1","lung",10.065,0,1
"501","SU8686","pancreas",7.6724,0,0
"502","SUIT2","pancreas",13.035,0,1
"503","SUIT2","pancreas",8.4907,0,0
"504","SW1088","central_nervous_system",8.7865,0,0
"505","SW1116","large_intestine",9.7487,0,1
"506","SW1271","lung",7.1385,1,0
"507","SW1353","bone",7.0624,1,0
"508","SW1417","large_intestine",11.267,0,1
"509","SW1573","lung",10.935,0,1
"510","SW1710","urinary_tract",7.3777,1,0
"511","SW1783","central_nervous_system",10.036,0,1
"512","SW1990","pancreas",9.1872,0,0
"513","SW48","large_intestine",2.9681,1,0
"514","SW579","thyroid",5.9673,1,0
"515","SW620","large_intestine",10.176,0,1
"516","SW948","large_intestine",9.4998,0,1
"517","T24","urinary_tract",11.096,0,1
"518","T3M10","lung",11.331,0,1
"519","T47D","breast",10.715,0,1
"520","T84","large_intestine",9.2186,0,0
"521","T98G","central_nervous_system",11.531,0,1
"522","TC71","bone",6.154,1,0
"523","TCCPAN2","pancreas",10.393,0,1
"524","TCCSUP","urinary_tract",8.2207,0,0
"525","TE1","oesophagus",9.6947,0,1
"526","TE10","oesophagus",9.2026,0,0
"527","TE11","oesophagus",8.4297,0,0
"528","TE14","oesophagus",9.3628,0,0
"529","TE15","oesophagus",6.3125,1,0
"530","TE4","oesophagus",6.9425,1,0
"531","TE441T","soft_tissue",3.0365,1,0
"532","TE5","oesophagus",7.0293,1,0
"533","TE6","oesophagus",7.1059,1,0
"534","TE617T","soft_tissue",3.7146,1,0
"535","TE8","oesophagus",6.1584,1,0
"536","TE9","oesophagus",7.1356,1,0
"537","TM31","central_nervous_system",10.239,0,1
"538","TOV112D","ovary",5.7643,1,0
"539","TOV21G","ovary",8.8201,0,0
"540","TT2609C02","thyroid",8.3416,0,0
"541","TTTHYROID","thyroid",8.6063,0,0
"542","TUHR10TKB","kidney",10.576,0,1
"543","TUHR14TKB","kidney",11.186,0,1
"544","TUHR4TKB","kidney",9.0167,0,0
"545","TYKNU","ovary",8.0351,0,0
"546","U118MG","central_nervous_system",9.632,0,1
"547","U251MG","central_nervous_system",8.7343,0,0
"548","U2OS","bone",5.6861,1,0
"549","U87MG","central_nervous_system",10.928,0,1
"550","UACC257","skin",8.7646,0,0
"551","UACC62","skin",7.894,0,0
"552","UBLC1","urinary_tract",7.9145,0,0
"553","UMUC3","urinary_tract",8.996,0,0
"554","VCAP","prostate",6.7764,1,0
"555","VMCUB1","urinary_tract",8.0123,0,0
"556","VMRCLCD","lung",9.1936,0,0
"557","VMRCRCW","kidney",11.821,0,1
"558","VMRCRCZ","kidney",11.785,0,1
"559","WM115","skin",6.5065,1,0
"560","WM1799","skin",7.9814,0,0
"561","WM2664","skin",6.6961,1,0
"562","WM793","skin",6.8758,1,0
"563","WM88","skin",6.9907,1,0
"564","WM983B","skin",9.6072,0,1
"565","YAPC","pancreas",9.0928,0,0
"566","YD10B","upper_aerodigestive_tract",6.8968,1,0
"567","YD15","salivary_gland",5.8637,1,0
"568","YD38","upper_aerodigestive_tract",7.5584,1,0
"569","YD8","upper_aerodigestive_tract",8.1078,0,0
"570","YH13","central_nervous_system",8.165,0,0
"571","YKG1","central_nervous_system",8.7767,0,0
"572","ZR751","breast",8.3704,0,0
"573","ZR7530","breast",9.5924,0,1
"574","NCIH1395","lung",8.8551,0,0
"575","NCIH1666","lung",4.8827,1,0
"576","NCIH1755","lung",11.479,0,1
"577","NCIH1975","lung",4.7446,1,0
"578","NCIH2087","lung",5.1525,1,0
"579","NCIH209","lung",4.8908,1,0
"580","NCIH2122","lung",9.622,0,1
"581","NCIH23","lung",5.3141,1,0
"582","NCIH358","lung",7.249,1,0
"583","NCIH441","lung",10.003,0,1
"584","NCIH446","lung",7.183,1,0
"585","NCIH460","lung",8.9217,0,0
"586","NCIH460","lung",8.0762,0,0
"587","NCIH508","large_intestine",8.559,0,0
"588","NCIH661","lung",6.5394,1,0
"589","NCIH69","lung",7.9782,0,0
"590","NCIN87","stomach",6.3543,1,0
"591","NCIH28","pleura",4.964,1,0
"592","NCIH146","lung",5.9571,1,0
"593","NCIH196","lung",9.0746,0,0
"594","NCIH211","lung",4.7167,1,0
"595","NCIH226","lung",6.5669,1,0
"596","NCIH322","lung",9.7921,0,1
"597","NCIH520","lung",9.1466,0,0
"598","NCIH520","lung",8.6978,0,0
"599","NCIH522","lung",7.4556,1,0
"600","NCIH526","lung",5.72,1,0
"601","NCIH647","lung",9.5974,0,1
"602","NCIH650","lung",8.4241,0,0
"603","NCIH660","prostate",9.169,0,0
"604","NCIH716","large_intestine",11.188,0,1
"605","NCIH727","lung",10.462,0,1
"606","NCIH747","large_intestine",8.7131,0,0
"607","NCIH810","lung",7.7427,0,0
"608","NCIH838","lung",7.6409,1,0
"609","NCIH841","lung",7.1985,1,0
"610","NCIH889","lung",8.6565,0,0
"611","NCIH1092","lung",8.3792,0,0
"612","NCIH1105","lung",6.6266,1,0
"613","NCIH1155","lung",6.8216,1,0
"614","NCIH1184","lung",4.7556,1,0
"615","NCIH1299","lung",10.451,0,1
"616","NCIH1299","lung",8.5871,0,0
"617","NCIH1339","lung",8.0717,0,0
"618","NCIH1341","lung",6.8186,1,0
"619","NCIH1355","lung",9.093,0,0
"620","NCIH1373","lung",9.9042,0,1
"621","NCIH1385","lung",9.1807,0,0
"622","NCIH1435","lung",7.9121,0,0
"623","NCIH1563","lung",9.8122,0,1
"624","NCIH1568","lung",6.4807,1,0
"625","NCIH1573","lung",10.389,0,1
"626","NCIH1581","lung",7.4047,1,0
"627","NCIH1623","lung",7.7093,0,0
"628","NCIH1650","lung",8.3745,0,0
