"","COSMIC_ID","Cell_line_name","Cell_line_tissue_type","Cell_line_tissue_type_2","LN_IC50","most_sensitive","least_sensitive"
"1",683667,"PFSK-1","nervous_system","medulloblastoma",1.75755919,1,0
"2",684057,"ES5","bone","ewings_sarcoma",1.13196674,1,0
"3",684059,"ES7","bone","ewings_sarcoma",0.87712395,1,0
"4",684062,"EW-11","bone","ewings_sarcoma",1.34299045,1,0
"5",684072,"SK-ES-1","bone","ewings_sarcoma",1.31737472,1,0
"6",684681,"NCI-H1395","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.54805102,0,0
"7",687452,"5637","urogenital_system","Bladder",1.52337287,1,0
"8",687455,"RT4","urogenital_system","Bladder",2.71829922,0,0
"9",687457,"SW780","urogenital_system","Bladder",2.5401121,0,0
"10",687505,"C-33-A","urogenital_system","cervix",1.38113295,1,0
"11",687506,"C-4-I","urogenital_system","cervix",2.59882019,0,0
"12",687514,"ME-180","urogenital_system","cervix",0.81441652,1,0
"13",687561,"42-MG-BA","nervous_system","glioma",3.08600352,0,0
"14",687562,"8-MG-BA","nervous_system","glioma",1.68366835,1,0
"15",687568,"GB-1","nervous_system","glioma",0.71588091,1,0
"16",687586,"T98G","nervous_system","glioma",3.44000868,0,0
"17",687588,"U-118-MG","nervous_system","glioma",2.74506187,0,0
"18",687590,"U-87-MG","nervous_system","glioma",3.10706607,0,0
"19",687592,"YKG-1","nervous_system","glioma",1.85074466,1,0
"20",687600,"NCI-H720","lung_NSCLC","lung_NSCLC_carcinoid",3.83159352,0,0
"21",687777,"Calu-3","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.13943131,0,1
"22",687780,"COR-L23","lung_NSCLC","lung_NSCLC_large cell",1.67761803,1,0
"23",687787,"LK-2","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma",3.31337826,0,0
"24",687798,"NCI-H1623","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.87391574,0,0
"25",687799,"NCI-H1648","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.23045419,0,0
"26",687802,"NCI-H1693","lung_NSCLC","lung_NSCLC_adenocarcinoma",4.18066836,0,1
"27",687804,"NCI-H1770","lung_NSCLC","lung_NSCLC_not specified",4.43619248,0,1
"28",687807,"NCI-H1838","lung_NSCLC","lung_NSCLC_adenocarcinoma",5.32799524,0,1
"29",687819,"NCI-H2342","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.45311657,0,0
"30",687820,"NCI-H2347","lung_NSCLC","lung_NSCLC_adenocarcinoma",4.37171723,0,1
"31",687821,"NCI-H2405","lung_NSCLC","lung_NSCLC_adenocarcinoma",3.00112258,0,0
"32",687829,"NCI-H661","lung_NSCLC","lung_NSCLC_large cell",2.1913922,0,0
"33",687983,"DMS-114","lung_SCLC","lung_small_cell_carcinoma",2.79834708,0,0
"34",687985,"DMS-273","lung_SCLC","lung_small_cell_carcinoma",2.24956747,0,0
"35",687995,"NCI-H1048","lung_SCLC","lung_small_cell_carcinoma",2.31221079,0,0
"36",687997,"NCI-H1092","lung_SCLC","lung_small_cell_carcinoma",5.10018036,0,1
"37",688001,"NCI-H1417","lung_SCLC","lung_small_cell_carcinoma",0.59958668,1,0
"38",688006,"NCI-H1694","lung_SCLC","lung_small_cell_carcinoma",2.32361203,0,0
"39",688007,"NCI-H187","lung_SCLC","lung_small_cell_carcinoma",3.32563856,0,0
"40",688010,"NCI-H1963","lung_SCLC","lung_small_cell_carcinoma",3.21934346,0,0
"41",688011,"NCI-H2029","lung_SCLC","lung_small_cell_carcinoma",4.77183545,0,1
"42",688013,"NCI-H209","lung_SCLC","lung_small_cell_carcinoma",-2.11577599,1,0
"43",688014,"NCI-H2141","lung_SCLC","lung_small_cell_carcinoma",3.82834467,0,0
"44",688018,"NCI-H2227","lung_SCLC","lung_small_cell_carcinoma",2.65882504,0,0
"45",688021,"NCI-H345","lung_SCLC","lung_small_cell_carcinoma",4.44092766,0,1
"46",688023,"NCI-H446","lung_SCLC","lung_small_cell_carcinoma",4.06062382,0,1
